aoa,cl,cd
220,-0.2345,0.5883
221,-0.2468,0.6178
222,-0.2443,0.6407
223,-0.251,0.673
224,-0.2589,0.7064
225,-0.2696,0.7408
226,-0.2762,0.7757
227,-0.2754,0.8082
228,-0.2783,0.846
229,-0.2837,0.891
230,-0.2924,0.9268
231,-0.3017,0.9721
232,-0.3055,1.0175
233,-0.3069,1.0633
234,-0.3114,1.1148
235,-0.3123,1.165
236,-0.3079,1.2157
237,-0.3129,1.2783
238,-0.3176,1.3433
239,-0.3174,1.4054
240,-0.3161,1.4676
241,-0.3105,1.5322
242,-0.306059207,1.605019401
243,-0.303165005,1.690514671
244,-0.297119273,1.771881267
245,-0.291374124,1.86149542
246,-0.286737,1.954264761
247,-0.278404764,2.056757814
248,-0.270463553,2.164109372
249,-0.260392018,2.280172282
250,-0.251691793,2.40230608
251,-0.234887571,2.548938414
252,-0.216456722,2.665974792
253,-0.196567489,2.806354602
254,-0.174189863,2.959534254
255,-0.149366861,3.112768405
256,-0.115159749,3.261335633
257,-0.080001668,3.42094007
258,-0.042650521,3.573278025
259,0.000836124,3.733665296
260,0.046973804,3.897449834
261,0.098942337,4.056582267
262,0.151323731,4.223750632
263,0.207759715,4.389524035
264,0.270778288,4.572113349
265,0.333469934,4.754521668
266,0.544801055,4.942409928
267,0.483830736,5.047725062
268,0.56339407,5.35592873
269,0.655381527,5.561101073
270,0.75538435,5.771242814
271,0.842151289,6.024184128
272,0.858232764,6.147937321
273,0.955873783,5.765738523
274,0.896768794,5.338284266
275,0.889657306,5.090651428
276,0.903672051,4.773256318
277,0.932945864,4.51725749
278,0.938103056,4.380875827
279,0.940614644,4.014422552
280,0.937880163,3.817768902
281,0.936125694,3.631664663
282,0.927259293,3.454519902
283,0.917857665,3.29568674
284,0.912660028,3.143431197
285,0.904710041,2.996466772
286,0.89742142,2.860393188
287,0.890811814,2.733647775
288,0.883403974,2.615173349
289,0.874412919,2.499463915
290,0.868268029,2.393447806
291,0.854497102,2.296848417
292,0.846034831,2.195046194
293,0.834603641,2.104717835
294,0.827532716,2.01508088
295,0.81471531,1.935363725
296,0.804317672,1.853196052
297,0.790008014,1.775973764
298,0.778136605,1.696408836
299,0.76527852,1.626875081
300,0.749481655,1.558387217
301,0.736532533,1.488894377
302,0.72454053,1.428523789
303,0.706427591,1.370306453
304,0.691184944,1.310167839
305,0.677557125,1.254916182
306,0.665574478,1.204529614
307,0.642768896,1.156953992
308,0.654904643,1.103907799
309,0.634284646,1.085519784
310,0.612645816,1.032999047
311,0.591548557,0.982676104
312,0.579171842,0.935024889
313,0.560885804,0.897872042
314,0.540534464,0.856848504
315,0.528070089,0.814080088
316,0.506533721,0.781438608
317,0.466499302,0.743013414
318,0.46549425,0.672305174
319,0.451827797,0.671627741
320,0.434491219,0.642177833
321,0.410451733,0.611479549
322,0.389691581,0.578566685
323,0.377634869,0.548135875
324,0.347574902,0.525229297
325,0.327246114,0.492166373
326,0.309277172,0.465333393
327,0.286454544,0.440287773
328,0.260437872,0.414803298
329,0.243706135,0.38811858
330,0.227944557,0.367763241
331,0.227474092,0.348453096
332,0.209781747,0.333562163
333,0.185396287,0.315652306
334,0.172713212,0.294539163
335,0.165947037,0.279184631
336,0.153267372,0.266449109
337,0.141396749,0.252205724
338,0.130936896,0.239065568
339,0.118022206,0.227036804
340,0.119216085,0.215236788
341,0.105845988,0.207075259
342,0.0919556,0.195694649
343,0.080682554,0.184494812
344,0.067280865,0.174335601
345,0.053869418,0.163952877
346,0.04565286,0.154048792
347,0.031829399,0.145341616
348,0.015020306,0.135413417
349,-0.004001167,0.12702064
350,-0.019864723,0.119918086
351,-0.04046725,0.113130803
352,-0.063808277,0.106689498
353,-0.089052646,0.099988455
354,-0.115127959,0.094189426
355,-0.143859574,0.089188891
356,-0.175868661,0.0849628
357,-0.213760419,0.081252443
358,-0.248716431,0.079283232
359,-0.284689447,0.079352773
